,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
169,"Godzilla (feat. Juice WRLD)",Eminem,758618,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
170,"my ex's best friend (with blackbear)","Machine Gun Kelly",755407,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
171,"Mr. Brightside","The Killers",754919,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
172,PROBLEMA,"Daddy Yankee",754900,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
173,"Wishing Well","Juice WRLD",754443,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
174,"Life Goes On",BTS,753887,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
175,"Smells Like Teen Spirit",Nirvana,752807,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
176,Rasputin,Majestic,751812,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
177,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",751405,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
178,"The Real Slim Shady",Eminem,751388,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
179,LOCATION,"KAROL G",749854,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
180,Robbery,"Juice WRLD",746547,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
181,"Train Wreck","James Arthur",746272,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
182,"Wake Me Up",Avicii,741944,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
183,"POPSTAR (feat. Drake)","DJ Khaled",732941,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
184,"Diamonds Dancing (feat. Travis Scott)","Young Stoner Life",731097,https://open.spotify.com/track/7uZqvqXzzYMKrexKxdcGmd
185,"Mi Niña",Wisin,729797,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
186,Falling,"Trevor Daniel",729494,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
187,"Something Just Like This","The Chainsmokers",728838,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
188,"When I Was Your Man","Bruno Mars",728449,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI
189,"All Girls Are The Same","Juice WRLD",727300,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
190,"In the End","Linkin Park",725712,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
191,willow,"Taylor Swift",722330,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
192,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,722119,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
193,"Good Without","Mimi Webb",721922,https://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5
194,SAD!,XXXTENTACION,720737,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
195,"everything i wanted","Billie Eilish",720457,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
196,"Fan de Tus Fotos","Nicky Jam",720402,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
197,"Why'd You Only Call Me When You're High?","Arctic Monkeys",719228,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
198,"hot girl bummer",blackbear,717162,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
199,"Stressed Out","Twenty One Pilots",716527,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
200,"Take You Dancing","Jason Derulo",709858,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
